sentence,sentiment,positive_score,negative_score,neutral_score
"E.ON SE Financial Statements pursuant to German GAAP and Combined Group Management Report for the 2021 Financial Y ear #StandWithUkraineE.ON SE Financial Statements pursuant to German GAAP and Combined Group Management Report for the 2021 Financial Y ear 2 Contents Search Back Contents 3 Combined Group Management Report 5 Corporate Profile 11 Strategy and Innovation 17 Employees 22 Business Report 50 Forecast Report 52 Risks and Chances Report 61 Internal Control System for the Accounting Process 63 Disclosures Regarding T akeovers 65 Corporate Governance Declaration 74 Compensation Report 106 Separate Combined Non-Financial Report 132 Financial Statements of E.ON SE 134 Balance Sheet 135 Income Statement 136 Notes 166 Declaration of the Board of Management 167 Independent Auditor’s Report E.ON SE’s Financial Statements, the Combined Group Management Report and the Separate Combined Non-Financial Report for the 2021 fiscal year will be published in the German Federal Gazette (“Bundesanzeiger”).",neutral,0.017385963,0.03797217,0.9446419
E.ON SE’s management report is combined with that of the Group.,neutral,0.021940026,0.025891628,0.95216835
"Page references in the Combined Group Management Report refer to the 2021 E.ON Annual Report.E.ON SE Financial Statements pursuant to German GAAP and Combined Group Management Report for the 2021 Financial Y ear 3 BackSearchContents Combined Group Management Report Combined Group Management ReportE.ON SE Financial Statements pursuant to German GAAP and Combined Group Management Report for the 2021 Financial Y ear 4 BackSearchContents Combined Group Management Report 5 Corporate Profile 5 Business Model 5 Special Events in the Reporting Period 9 Management Control System 11 Strategy and Innovation 11 Strategy and Objectives 14 Innovation 17 Employees 17 People Strategy 17 Integration of innogy 18 Employer Attractiveness 18 Diversity 20 Workforce Figures 20 Geographic Structure 21 Gender, Age Structure, and Part-time Employment 21 Apprentices in Germany 22 Business Report 22 Macroeconomic and Industry Environment 30 Business Performance 32 Earnings Situation 37 Financial Situation 41 Asset Situation 42 Business Segments 48 E.ON SE’s Earnings, Financial, and Asset Situation 50 Forecast Report 52 Risks and Chances Report 61 Internal Control System for the Accounting Process 63 Disclosures Regarding T akeovers 65 Corporate Governance DeclarationE.ON SE Financial Statements pursuant to German GAAP and Combined Group Management Report for the 2021 Financial Y ear Corporate Profile Strategy and Innovation Employees Business Report Forecast Report Risks and Chances Report Internal Control System for the Accounting Process Disclosures Regarding T akeovers Corporate Governance Declaration 5 Combined Group Management Report Contents Search Back E.ON Annual Report 2021 Corporate Profile Strategy and Innovation Employees Business Report Forecast Report Risks and Chances Report Internal Control System for the Accounting Process Disclosures Regarding T akeovers Corporate Governance Declaration 36Combined Group Management ReportContents Search Back Corporate Profile Business Model E.ON is an investor-owned energy company with approximately 72,000 employees led by Corporate Functions in Essen.",neutral,0.021731889,0.030249823,0.94801825
The Group’s core business is divided into two operating segments: Energy Networks and Customer Solutions.,neutral,0.04380491,0.013258522,0.9429366
Non-strategic opera- tions are reported under Non-Core Business; corporate functions and equity interests managed directly by E.ON SE are reported under Corporate Functions/Other.,neutral,0.018089902,0.026646223,0.9552639
Corporate Functions Corporate Functions’ main task is to lead the E.ON Group.,neutral,0.025152888,0.02329302,0.9515541
This involves charting E.ON’s strategic course and managing and funding its existing business portfolio.,neutral,0.12632151,0.007934309,0.86574423
"Corporate Functions’ tasks include optimizing E.ON’s overall business across countries and markets from a financial, strategic, and risk perspective and conducting stake- holder management.",neutral,0.0560935,0.011344061,0.9325624
Energy Networks This segment consists of E.ON’s power and gas distribution networks and related activities.,neutral,0.033652972,0.015780447,0.95056665
"It is subdivided into three regional markets: Germany, Sweden, and East-Central Europe/T urkey (which consists of the Czech Republic, Hungary, Romania, Poland, Croatia, Slovakia, and the stake in Enerjisa Enerji in T urkey, which is accounted for using the equity method).",neutral,0.027257428,0.016777603,0.955965
"This segment’s main tasks include oper- ating its power and gas networks safely and reliably, carrying out all necessary maintenance and repairs, and expanding its power and gas networks, which frequently involves adding customer connec- tions and the connection of renewable energy generation assets.",neutral,0.44113478,0.008245378,0.5506198
Customer Solutions This segment serves as the platform for working with E.ON’s cus- tomers to actively shape Europe’s energy transition.,neutral,0.3545458,0.006650902,0.6388033
"This includes supplying customers in Europe (excluding T urkey) with power, gas, and heat and offering products and services that enhance their energy efficiency and autonomy and provide other benefits.",positive,0.6096337,0.007651071,0.3827153
"E.ON’s activities are tailored to the individual needs of customers across all categories: residential, small and medium-sized enterprises, large commercial and industrial, sales partners, and public entities.",neutral,0.07037768,0.010216183,0.9194061
"E.ON’s main presence in this business is in Germany, the United Kingdom, the Netherlands, Belgium, Sweden, Italy, the Czech Republic, Hungary, Croatia, Romania, Poland, and Slovakia.",neutral,0.039457146,0.014231176,0.94631165
"In addition, the Combined Group Management Report discloses Energy Infrastructure Solutions’ activities in this segment for the first time.",neutral,0.090534866,0.01071122,0.89875394
"Energy Infrastructure Solutions engages in activities aimed at decarbonizing E.ON’s com- mercial and industrial customers, such as sustainable city solutions and district heating.",neutral,0.12270908,0.008094388,0.86919653
Non-Core Business This segment consists of the E.ON Group’s non-strategic activities.,neutral,0.026661282,0.019091533,0.95424724
This applies to the operation and dismantling of nuclear power sta- tions in Germany (which is managed by the PreussenElektra unit) and the generation business in T urkey.,neutral,0.027264787,0.018215826,0.95451933
Special Events in the Reporting Period Changes in Segment Reporting Operations in Croatia and at VSEH in Slovakia consist of network as well as sales businesses.,neutral,0.018826606,0.051448956,0.92972445
All of these operations were previously reported at Energy Networks’ East-Central Europe/T urkey unit.,neutral,0.023498315,0.023309492,0.9531922
"E.ON’s segment reporting was adjusted effective January 1, 2021.",neutral,0.021947337,0.0564598,0.92159283
Power and gas sales operations as well as the new customer solu- tions business in Croatia and at VSEH are now reported at Customer Solutions’ Other unit.,neutral,0.043531522,0.012775359,0.9436931
Their network businesses continue to be reported at Energy Networks’ East-Central Europe/T urkey unit.,neutral,0.047520243,0.012354327,0.94012547
Energy Price Movements High gas and electricity prices had a significant impact on the energy sector in 2021.,negative,0.019351454,0.8797475,0.10090099
