sentence,sentiment,positive_score,negative_score,neutral_score
"E.ON SE Financial Statements pursuant to German GAAP and Combined Group Management Report for the 2020 Financial YearE.ON SE’s Financial Statements, the Combined Group Management Report and the Separate Combined Non-Financial Report for the 2020 fiscal year will be published in the German Federal Gazette (“Bundesanzeiger”).",neutral,0.01671176,0.031721182,0.95156705
"E.ON SE’s management report is combined with that of the Group.4 Combined Group Management Report 4 Corporate Profile 4 Business Model 8 Management System 9 Innovation 12 Business Report 12 Macroeconomic and Industry Environment 15 Business Performance 16 Earnings Situation 21 Financial Situation 25 Asset Situation 26 Business Segments 32 E.ON SE’s Earnings, Financial, and Asset Situation 33 Other Financial and Non-financial Performance Indicators 33 – ROCE and Value Added 34 – Employees 38 Forecast Report 41 Risk and Chances Report 49 Internal Control System for the Accounting Process 51 Disclosures Regarding T akeovers 54 Corporate Governance Declaration 64 Compensation Report 84 Separate Combined Non-Financial Report 102 Financial Statements of E.ON SE 102 Balance Sheet 103 Income Statement 104 Notes 135 Declaration of the Board of Management 136 Auditors’ Report Page references in the Combined Group Management Report refer to the 2020 E.ON Annual Report.",neutral,0.019201677,0.0529783,0.92781997
"ContentsCombined Group Management Report 4Corporate Profile Renewables Substantially all of the operations in this segment were classified as discontinued operations effective June 30, 2018, and decon- solidated effective September 18, 2019.",negative,0.014000642,0.60035306,0.38564628
Certain business oper- ations were not transferred to RWE and were reassigned to other segments (see “Special Events in the Reporting Period” below).,neutral,0.021957666,0.049215615,0.9288267
"This refers in particular to e.disnatur operations in Germany and Poland as well as a 20-percent stake in Rampion offshore wind farm in the United Kingdom (on Rampion, see Notes 5 and 37 to the Consolidated Financial Statements).",neutral,0.0347949,0.014681918,0.95052314
"This segment consisted of onshore wind, offshore wind, and solar farms.",neutral,0.0272199,0.028783714,0.9439964
"E.ON planned, built, operated, and managed renewable generation assets.",neutral,0.037204783,0.016768578,0.9460266
Non-Core Business This segment consists of the E.ON Group’s non-strategic activities.,neutral,0.026661282,0.019091533,0.95424724
This applies to the operation and dismantling of nuclear power stations in Germany (which is managed by the PreussenElektra unit) and the generation business in T urkey.,neutral,0.02797592,0.018062001,0.953962
"Special Events in the Reporting Period Resolution Adopted for Personnel Changes in the E.ON SE Management Board Effective April 1, 2021 In December 2020, the E.ON SE Supervisory Board resolved to appoint Leonhard Birnbaum as Chairman of the Company’s Management Board and CEO effective April 1, 2021.",neutral,0.02351945,0.09475381,0.88172674
Birnbaum will succeed Johannes T eyssen.,neutral,0.022774892,0.052420903,0.9248043
"T eyssen joined the Group in 1989, has been a member of the Management Board since 2004, and has led E.ON for more than ten years.",neutral,0.06937473,0.0122736525,0.91835165
"As part of the succession plan for the Group’s top leadership, the Supervisory Board also announced that Victoria Ossadnik, currently CEO of E.ON Energie Deutschland GmbH, will be appointed to the E.ON SE Management Board effective April 1, 2021.",neutral,0.029398244,0.029120587,0.9414811
"Ossadnik, who joined the E.ON Group in April 2018, previously spent seven years at Microsoft Corporation, where she most recently led its global Enterprise Service Data and Artificial Intelligence organization.",neutral,0.043093804,0.020599224,0.93630695
"In the future, she will be responsible for the E.ON Group’s digitization.",neutral,0.081115544,0.009527785,0.90935665
"Corporate Profile Business Model E.ON is an investor-owned energy company with approximately 78,000 employees led by Corporate Functions in Essen.",neutral,0.037326455,0.015994042,0.9466795
The Group has two operating segments: Energy Networks and Customer Solutions.,neutral,0.04592258,0.014364739,0.93971264
Non-strategic operations are reported under Non-Core Business.,neutral,0.019951638,0.0280716,0.9519768
In the prior year the Group also had a Renewables segment (see commentary below).,neutral,0.05647159,0.011934801,0.9315936
Corporate Functions Corporate Functions’ main task is to lead the E.ON Group.,neutral,0.025152888,0.02329302,0.9515541
This involves charting E.ON’s strategic course and managing and funding its existing business portfolio.,neutral,0.12632151,0.007934309,0.86574423
"Corporate Functions’ tasks include optimizing E.ON’s overall business across countries and markets from a financial, strategic, and risk perspective and conducting stakeholder management.",neutral,0.06003805,0.011200517,0.9287615
Energy Networks This segment consists of E.ON’s power and gas distribution networks and related activities.,neutral,0.033652972,0.015780447,0.95056665
