sentence,sentiment,positive_score,negative_score,neutral_score
"E.ON SE Financial Statements pursuant to German GAAP and Combined Group Management Report for the 2022 Financial Y ear Contents Search Back 2 E.ON SE Financial Statements 2022 Combined Group Management ReportContents Search Back 3 E.ON SE Financial Statements 2022 Corporate Profile 6 Climate Protection and Environmental Management 18 Employees and Society 30 Governance 48 Sustainable Finance and Investment 61 Business Report 71 Forecast Report 104 Risks and Chances Report 106 Disclosures Pursuant to Section 289, Paragraph 4, and Section 315, Paragraph 4 of the German Commercial Code on the Internal Control System for the Accounting Process 115 Disclosures Pursuant to Section 289a and Section 315a of the German Commercial Code and Explanatory Report 118 Corporate Governance Declaration in Accordance with Section 289f and Section 315d of the German Commercial Code 120Combined Group Management Report Contents Search Back → Ab out this Report → Corporate Profile → Climate Protection and Environmental Management → Employees and Society → G overnance → Sustainable Finance → Business Report → Forecast Report → Risks and Chances Report → In ternal Control System → Disclosures Regarding Takeovers → Corporate Governance Declaration 4 E.ON SE Financial Statements 2022 About this Report GRI 2-1, GRI 2-2, GRI 2-3, GRI 2-4, GRI 2-5, GRI 2-6 The E.ON Integrated Annual Report 2022 for the first time combines the Company’s financial and non-financial reporting.",neutral,0.031122899,0.021958362,0.9469187
Sustainability is the centerpiece of E.ON’s strategy and— in every dimension— the standard for our actions.,neutral,0.0998388,0.01061731,0.8895439
"An integrated report provides our stakeholders with a holistic and transparent view of our financial, environmental, and social performance.",neutral,0.42839304,0.008018369,0.5635887
Standards This integrated report applies to the E.ON Group as well as E.ON SE.,neutral,0.033821806,0.016797177,0.949381
"E.ON is therefore fulfilling all requirements of International Financial Reporting Standards (“IFRS”), the German Commercial Code (German abbreviation: “HGB”), and German Accounting Standards (German abbreviation “DRS”).",neutral,0.14333017,0.00871663,0.84795326
The combined Non- Financial Statement (“NFS”) pursuant to Section §§ 315b and 315c in conjunction with Sections §§ 289b to 289e of the HGB is fully integrated into the Combined Group Management Report.,neutral,0.035063796,0.018977394,0.94595885
"The Group Management Report thus contains information on five aspects: the environment, employees, social matters, human rights, as well as anti-corruption and bribery.",neutral,0.028425898,0.023422396,0.9481517
The NFS also complies with the disclosure requirements of the EU Taxonomy Regulation.,neutral,0.06277413,0.014693895,0.92253196
The Non-Financial Statement (“NFS”) index in dicates where these disclosures can be found in the integrated report.,neutral,0.028022887,0.029499559,0.9424775
Other parts of the Combined Group Management Report include Disclosures Regarding Takeovers an d the Corporate Governance Declaration.,neutral,0.02144769,0.028553277,0.949999
"In addition, the Compensation Report is i ntegrated into the Annual Report.",neutral,0.01928045,0.03744128,0.9432783
"E .ON’s sustainability reporting, which consists of the NFS and other sustainability disclosures, is guided by the findings of its materiality analysis and topics relevant for stakeholders.",neutral,0.04948763,0.012551825,0.93796057
It has been prepared with reference to the GRI Standards 2021 by the Global Reporting Initiative.,neutral,0.06277923,0.011279503,0.9259412
The GRI standards covered by the content of a chapter are displayed on the first page of the chapter.,neutral,0.017581467,0.03471358,0.9477049
The GRI Index provides an overview.,neutral,0.029445007,0.029063908,0.94149107
The Other Information chapter contains E.ON’s disclosures regarding the Electric Utilities and Power Generators Standards issued by the Sustainability Accounting Standards Board (“SASB”).,neutral,0.027070278,0.02339153,0.94953823
E.ON is committed to the ten principles of the United Nations Global Compact (“UNGC”) and supports the United Nations Sustainable Development Goals (“SDGs”).,neutral,0.17800942,0.008106649,0.8138839
We describe our contributions to the SDGs in the Strategy c hapter.,neutral,0.10992595,0.009296408,0.8807776
"Our climate -related reporting, which is based on the recommendations of the Task Force on Climate-related Financial Disclosures (“TCFD”) as well, can be found in the chapter Other Informat ion.",neutral,0.03924846,0.018847538,0.94190395
Scope This report encompasses all subsidiaries that are fully consolidated in E.ON’s Consolidated Financial Statements 2022.,neutral,0.024336101,0.022442047,0.95322186
Any deviations are marked accordingly.,neutral,0.025648933,0.090542406,0.8838087
KPI-based thresholds are used to distinguish companies that do not contribute significantly to the report.,neutral,0.035211764,0.022374095,0.9424141
"The next chapter, Business Model, contains more information about the E.ON Group’s structure and business segments.",neutral,0.026851049,0.022411484,0.9507375
T he reporting period is the 2022 calendar year.,neutral,0.015897105,0.06630773,0.9177951
For most KPIs the corresponding prior-year figure is provided to improve comparability.,neutral,0.13307121,0.011847436,0.8550814
Adjustments to prior-year figures of a KPI are explained in footnotes.,neutral,0.01790954,0.053424258,0.9286662
Statements on the future development of E.ON and its subsidiaries are estimates based on information available at the time of reporting.,neutral,0.022017738,0.024942335,0.95303994
Actual results may deviate from these statements.,negative,0.020064479,0.71475464,0.2651808
"Combined Group Management Report Contents Search Back → Ab out this Report → Corporate Profile → Climate Protection and Environmental Management → Employees and Society → G overnance → Sustainable Finance → Business Report → Forecast Report → Risks and Chances Report → In ternal Control System → Disclosures Regarding Takeovers → Corporate Governance Declaration 5 E.ON SE Financial Statements 2022 The report was published on March 15, 2023, and is available in German and English in pdf format.",neutral,0.029871412,0.021684485,0.9484441
You can download the pdf version of this report at eon.com.,neutral,0.030363722,0.022087855,0.9475484
The previous Annual Report and previous Sustainability Report were published in March 2022.,neutral,0.025933707,0.02347718,0.9505892
You can find them and additional reports in the investor relations archive.,neutral,0.022361707,0.03566374,0.9419745
"Language To improve readability, we generally use the shorter name for companies and organizations (such as “E.ON” rather than “E.ON SE”).",neutral,0.040997483,0.01833308,0.9406695
"Sustainability Ratings E.ON’s commitment to transparency includes subjecting its sustainability performance to independent, detailed assessments by specialized agencies and capital-market analysts.",neutral,0.14324275,0.008253701,0.84850353
The findings of these assessments provide important guidance to investors and to E.ON.,neutral,0.22049017,0.0077246586,0.7717852
