sentence,sentiment,positive_score,negative_score,neutral_score
Capital Markets Story it‘s on us February 2026We are the playmaker of the green energy transition in Europe ~76% Adj.,neutral,0.21994515,0.0074660494,0.77258873
EBITDA share1 (1) Average Adj.,neutral,0.0721752,0.01717786,0.9106469
EBITDA share over 2026-2030 plan excluding corporate functions.,neutral,0.030785548,0.016757408,0.952457
"(2) Central Eastern Europe including Czech Republic, Poland, Slovakia.",neutral,0.03908174,0.015968317,0.9449499
"(3) South Eastern Europe including Hungary, Croatia, Romania, Turkey.",neutral,0.04735842,0.014073791,0.93856776
(4) Total regulated asset base (power and gas) as per 31-Dec-2025 (see full definition on page 6).,neutral,0.035217162,0.014823507,0.9499593
"(5) Nordics including Sweden, Norway, Denmark, other countries Netherlands, Belgium, France, Italy, Poland, Czech Republic, Hungary, Slovenia, Croatia.",neutral,0.030307017,0.020975156,0.9487179
"(7) Including Sweden, Italy, Czech Republic, Hungary, Croatia, Romania and Poland.",neutral,0.039531436,0.018663678,0.9418049
(8) Excluding equity participations in Turkey and Slovakia.,neutral,0.03575673,0.014089785,0.9501535
Capital Markets Story | 2 Energy Networks We operate the largest energy distribution grid in Europe and are the backbone of the green energy transition with the most critical infrastructure for society.,neutral,0.33522624,0.007604572,0.65716916
Energy Infrastructure Solutions Industries and cities face major energy supply challenges on their way to climate neutrality.,neutral,0.14935707,0.139389,0.71125394
We provide infrastructure solutions to support their decarbonization.,positive,0.5092134,0.008144461,0.4826421
"Energy Retail We are helping millions of private households and enterprises on their individual green pathway to a net-zero future, providing energy to 47m customers6.",positive,0.6620595,0.008487277,0.32945326
T op-3 markets Regulated asset base4 • Germany: €30.0bn • Sweden: €7.8bn • Czech Republic: €3.2bn T op-3 markets Adj.,neutral,0.04500764,0.013394763,0.9415976
EBITDA6 • UK: €0.24bn • Germany: €0.16bn • Nordics: €0.15bn T op-3 markets8 Customer accounts/electricity market share6 • Germany: 14m (23%) • UK: 8m (16%) • Netherlands: 4m (24%) Germany Sweden CEE2 SEE3 Germany UK Netherlands 7 other7 Germany UK Nordics5 9 other5Our investment case: five reasons to invest in E.ON Energy Networks Secular growth opportunities from the green energy transition well into the 2030s.,neutral,0.238719,0.009387524,0.75189346
"Regulated business profile provides for a steady and profitable, highly visible earnings growth path.",positive,0.8137386,0.0075536636,0.17870773
"Energy Infrastructure Solutions Best-in-class energy infrastructure portfolio, capitalizing on decarbonization needs of cities and industries.",positive,0.71870065,0.0063281613,0.27497116
Energy Retail Healthy cashflows from a capital light business.,positive,0.96035296,0.018172238,0.02147483
Expanded by cross-selling integrated innovative solutions addressing rising demand from electrification.,positive,0.8420776,0.006728036,0.15119441
Strategic Foundation Pioneering the digital transformation of the energy sector and applying strict sustainability criteria as the core foundation for steering the company.,neutral,0.24711001,0.006962199,0.74592775
Financial Strategy Clear value-creation focus and solid financial headroom ensuring an attractive shareholder return outlook including dividends and earnings growth.,positive,0.91796947,0.009339921,0.07269065
"Focus on value-creation and shareholder returns Long-term growth in a regulated environment Growth acceleration from contracted infrastructure Reliable returns and attractive cash generation Growth, digitalization and sustainability as strategic backbones 1 2 3 4 5 Capital Markets Story | 3Our business and financial strategy provides for attractive shareholder returns supported by a strong balance sheet Strong BBB/Baa rating €5-10bn extra balance sheet capacity 10% power RAB growth p.a.",positive,0.88186496,0.0071202703,0.111014895
