sentence,sentiment,positive_score,negative_score,neutral_score
" E.ON SE Financial Statements pursuant to German GAAP and Combined Group Management Report for the 2023 Financial Year Contents Search Back 1 E.ON SE Financial Statements 2023 Corporate Profile 4 Business Model 4 ESG Materiality and Stakeholder Engagement 4 Strategy 7 Innovation 11 Management Control System 13 Climate Protection and Environmental Management 15 Climate Protection 15 Environmental Management 22 Sustainable Products and Services 27 Employees and Society 30 Occupational Health and Safety 30 Working Conditions and Employee Development 34 Customer Satisfaction 39 Security of Supply 41 Community Involvement 44 Data Protection, Cybersecurity, and Product Safety 45 Business Resilience Management 47 Governance 49 Compliance and Anticorruption 49 Energy Affordability 51 Diversity and Inclusion 53 Human Rights and Supply Chain Management 55 Tax 58 Sustainable Finance and Investment 60 EU Taxonomy 60 Sustainable Finance 68 ESG Ratings of E.ON 68 ESG Asset Management and Pension Assets 68 Business Report 69 Macroeconomic and Industry Environment 69 Special Events in the Reporting Period 74 Subsequent Events 75 Business Performance 76 Energy Networks 77 Customer Solutions 78 Earnings Situation 80 Financial Situation 86 Asset Situation 90 E.ON SE’s Earnings, Financial, and Asset Situation 91 Forecast Report 93 Risks and Chances Report 95 Disclosures Pursuant to Section 289, Paragraph 4, and Section 315, Paragraph 4 of the German Commercial Code on the Internal Control System for the Accounting Process 103 Disclosures Pursuant to Section 289a and Section 315a of the German Commercial Code and Explanatory Report 106 Combined Group Mana gement Report Combined Group Management Report Contents Search Back → About this Report → Corporate Profile → Climate Protection and Environmental Management → Employees and Society → Governance → Sustainable Finance → Business Report → Forecast Report → Risks and Chances Report → Internal Control System → Disclosures Regarding Takeovers 2 E.ON SE Financial Statements 2023 About This Report GRI 2-2, GRI 2-3, GRI 2-4, GRI 2-5, GRI 2-6 For the 2023 reporting year, E.ON has again published an Integrated Annual Report that combines financial and non- financial reporting.",neutral,0.03820308,0.021858241,0.9399387
The reason is that sustainability is the centerpiece of E.ON’s strategy and— in every dimension— the standard for our actions.,neutral,0.13561495,0.009594786,0.85479033
"An integrated report provides our stakeholders with a holistic and transparent view of our financial, environmental, and social performance.",neutral,0.42839304,0.008018369,0.5635887
Standards This Integrated Annual Report applies to the E.ON Group as well as E.ON SE.,neutral,0.03490553,0.01675973,0.94833475
"E.ON is therefore fulfilling all requirements of International Financial Reporting Standards (“IFRS”), the German Commercial Code (German abbreviation: “HGB”), and German Accounting Standards (German abbreviation “DRS”).",neutral,0.14333017,0.00871663,0.84795326
The combined Non-Financial Statement (“NFS”) pursuant to Sections 315b and 315c in conjunction with Sections 289b to 289e of the HGB is fully integrated into the Combined Group Management Report.,neutral,0.034427118,0.019142402,0.9464305
"The Group Management Report thus contains information on five aspects: the environment, employees, social matters, human rights, as well as anti-corruption and anti-bribery.",neutral,0.030421883,0.021888038,0.9476901
The NFS also complies with the disclosure requirements of the EU Taxonomy Regulation.,neutral,0.06277413,0.014693895,0.92253196
The Non-Financial Statement (“NFS”) Index indicates where these disclosures can be found in the Integrated Annual Report.,neutral,0.018318737,0.039846353,0.9418349
"In addition, the Disclosures Regarding Takeovers chapter is integrated into the Annual Report.",neutral,0.032545835,0.018309837,0.94914436
