sentence,sentiment,positive_score,negative_score,neutral_score
 Integrated Annual Report 2025 2 E.ON Integrated Annual Report 2025 Contents Highlights 3 Key Figures 4 For Our Investors 7 E.ON on the Capital Market 8 CEO Letter 12 Report of the Supervisory Board 15 Combined Group Management Report 20 About this Report 22 Corporate Profile 24 Business Report 30 Forecast Report 71 Risks and Opportunities Report 74 Sustainability Statement 81 Internal Control System 143 Disclosures Regarding Takeovers and Explanatory Report 146 Consolidated Financial Statements 149 Consolidated Statement of Income 151 Consolidated Statement of Recognized Income and Expenses 152 Consolidated Balance Sheet 153 Consolidated Statement of Cash Flows 155 Consolidated Statement of Changes in Equity 157 Notes 159 Other Information 253 Declaration of the Board of Management 255 Reproduction of the Independent Auditor's Report 256 Assurance Report in Relation to the Group Sustainability Report 264 Boards 268 Summary of Financial Highlights 271 Financial Calendar 273 Imprint 273 3 E.ON Integrated Annual Report 2025 Highlights 4 E.ON Integrated Annual Report 2025 Key Figures The Management Control System → chapter provides more information about our KPIs.,neutral,0.0222671,0.034460794,0.9432722
"5 E.ON Integrated Annual Report 2025 E.ON: Playmaker of the Energy Transition A clear strategic focus on growth, sustainability, and digitalization enables E.ON to be the playmaker of the energy transition and thus to shape the transformation toward a sustainable energy future.",positive,0.7461059,0.007188833,0.24670532
"Our three core business divisions— Energy Networks, Energy Infrastructure Solutions, and Energy Retail— form the basis for generating sustainable business growth and tackling the challenges of the energy transition.",neutral,0.46993235,0.008240167,0.52182746
A successful transition to climate neutrality will require comprehensive action.,positive,0.6490787,0.010067864,0.34085333
"Economic growth, energy affordability, and security of supply— alongside climate protection and sustainability— will play key roles.",neutral,0.12108397,0.01093396,0.86798215
We work with partners along the entire value chain to create innovative solutions for a sustainable energy future.,positive,0.71833986,0.00798669,0.27367336
6 E.ON Integrated Annual Report 2025 Path to Climate Neutrality E.ON— the playmaker of the energy transition— is actively engaged in bringing about a sustainable energy world.,positive,0.67217696,0.008562466,0.31926054
"We invest heavily to expand and modernize our distribution networks, which form the backbone of the energy transition.",positive,0.5639728,0.008427651,0.42759958
Our clean and smart energy solutions help our customers decarbonize.,positive,0.4992582,0.0077544986,0.49298736
We also take action to reduce our own carbon emissions and aim to achieve climate neutrality by 2040.,neutral,0.3620071,0.009874528,0.62811834
Affordable Energy The transformation to a sustainable energy system will require substantial investments.,positive,0.54638386,0.009068667,0.4445475
"At the same time, the energy transition must not place an excessive financial burden on society or companies.",neutral,0.03729851,0.07037439,0.8923271
E.ON is therefore committed to finding an economically viable solution.,positive,0.87706864,0.0086556915,0.11427573
"Above all, such a solution will require ongoing electrification to take advantage of renewable power.",neutral,0.28168914,0.0074495412,0.71086127
"Accelerating the rollout of smart meters to enhance digitalization and creating targeted flexibility incentives are important as well— for a stable, efficient, and sustainable energy system.",positive,0.76019466,0.007152961,0.2326524
"Security of Supply Amid rising electricity demand and increasing energy-system volatility due to renewables growth, security of supply remains essential.",neutral,0.23573977,0.01992067,0.7443396
E.ON is therefore moving forward not only to expand its distribution networks but also to digitalize them.,positive,0.8684619,0.0065143495,0.12502374
Automation and digital control make it possible to monitor and fine-tune energy flows in real time.,neutral,0.07395078,0.0112913465,0.9147579
This increases network stability and reduces the risk of outages.,positive,0.9206531,0.010092431,0.069254495
E.ON is investing in digital security as well.,neutral,0.10705741,0.008550232,0.8843923
"In addition, the tense geopolitical situation is resulting in a greater emphasis on ensuring the resilience of critical infrastructure against threats like cyberattacks.To Our Investors → E.ON on the Capital Market 7 E.ON Integrated Annual Report 2025 For Our Investors Good Reasons to Invest in E.ON Stock Focusing on Value Creation and Shareholder Return A clear focus on value creation enables us to offer our shareholders the prospect of attractive returns, including dividend and earnings growth.",positive,0.9030704,0.008934839,0.08799475
Delivering Long-term Growth in a Regulated Environment Being the playmaker of Europe’s energy transition will give us attractive growth opportunities well into the next decade.,positive,0.91538537,0.008408464,0.0762062
A high proportion of regulated and long-term contracted business activities and a stable energy retail business will enable us to expand profitably and to reliably achieve our ambitious targets.,positive,0.9381334,0.011610735,0.050255887
"Investing to Propel Europe’s Energy Transition Targeted investments in our networks will further strengthen this critical infrastructure, which is the backbone of Europe’s energy transition.",positive,0.90131587,0.00811748,0.090566665
These investments will make a decisive contribution to ensuring that Europe has a resilient and competitive energy supply.,positive,0.89408875,0.009315192,0.09659608
To Our Investors → E.ON on the Capital Market 8 E.ON Integrated Annual Report 2025 E.ON on the Capital Market 2025: A Successful Year for Equities Germany’s DAX stock index ended 2025 up 23 percent.,positive,0.9404496,0.016249891,0.04330047
"E.ON stock again significantly outperformed the DAX, rising by 43 percent.",positive,0.9534467,0.028521096,0.018032232
"Several factors during the year contributed to this positive performance: the confirmation of our company targets for 2028, the potential positive implications of the special infrastructure fund announced by the German federal government, a rotation into defensive stocks triggered in the spring by potential risks from U.S. tariffs, and the generally volatile geopolitical situation.",positive,0.93284076,0.031438693,0.03572048
E.ON stock reached a 2025 high of €16.49 on August 6 and finished the year at €16.13 (prior year: €11.25).,positive,0.84153366,0.027125377,0.13134092
"E.ON stock therefore outperformed both the DAX and its European peer index, the Stoxx Europe 600 Utilities (+34 percent).",positive,0.843607,0.13200366,0.024389297
"Continuous Dividend Growth At the Annual Shareholders Meeting to be held on April 23, 2026, the Management Board and Supervisory Board will propose paying out a cash dividend of €0.",neutral,0.18374848,0.010520213,0.8057313
57 per share for fiscal year 2025 (prior year: €0.55).,neutral,0.035075594,0.043860752,0.9210636
"Based on E.ON stock’s year-end 2025 closing price, this corresponds to an expected dividend yield of about 4 percent.",neutral,0.054019947,0.02793147,0.91804856
The payout ratio (as a percentage of adjusted net income) would therefore be 49 percent.,neutral,0.031116717,0.020339087,0.9485442
Our dividend policy aims to offer our shareholders attractive dividend growth of up to 5 percent annually.,positive,0.916898,0.008512834,0.07458924
"E.ON Stock Key Figures Per share (€) 2025 2024 Dividend1 0.57 0.55 Dividend payout1 (€ in millions) 1,490 1,437 Twelve-month high2 16.49 13.82 Twelve-month low2 10.50 11.01 Year-end closing price2 16.13 11.25 Market capitalization3 (€ in billions) 42.15 29.56 1For the respective financial year; the 2025 figure represents management’s dividend proposal.",neutral,0.032556344,0.029818445,0.93762517
3Based on ordinary shares outstanding at year-end.,neutral,0.04233484,0.013098416,0.94456667
"To Our Investors → E.ON on the Capital Market 9 E.ON Integrated Annual Report 2025 Broad Investor Base Our most recent shareholder identification conducted at year-end 2025 shows that E.ON stock has roughly 60 percent institutional investors, roughly 20 percent retail investors, and about 20 percent other investors.",neutral,0.060829032,0.01246849,0.92670244
"Investors in Germany hold about 41 percent of E.ON stock, those outside Germany about 59 percent.",neutral,0.024218025,0.020210106,0.9555719
"The broad diversification of stock ownership among institutional and retail investors, many of whom pursue a long-term investment strategy, ensures a stable investor base for E.ON.",positive,0.79313713,0.0063880687,0.2004748
E.ON Stock Is Represented on Numerous Stock Exchanges and Is Included in Multiple Indices E.ON stock trades in Frankfurt am Main and on other German stock exchanges as well as on electronic trading platforms such as Xetra.,neutral,0.04772439,0.011695481,0.9405801
It is also available on stock exchanges in other European countries.,neutral,0.06054907,0.009934608,0.9295163
"E.ON’s stock is included in the DAX and other indices in Europe, including the Stoxx Europe 600 Utilities, MSCI World, and the S&P Europe 350.",neutral,0.048726205,0.014164736,0.9371091
E.ON stock trades over the counter on OTC Pink in the United States in the form of American Depositary Receipts (“ADRs”).,neutral,0.025398562,0.025216475,0.949385
E.ON’s ADR program offers U.S. investors the opportunity to acquire E.ON’s stock and hold it in the form of share certificates that are traded and settled like other U.S. stocks.,neutral,0.10030845,0.009752503,0.889939
E.ON Stock Symbols and Identification Numbers Reuters: Xetra EONGn.DE Reuters: Frankfurt Stock Exchange EONGn.F Bloomberg: Frankfurt Stock Exchange EOAN GY Bloomberg: ADR over-the-counter code EOANGY US Security Identification Numbers Germany ENAG99 International Securities Identification Number (ISIN) DE000ENAG999 To Our Investors → E.ON on the Capital Market 10 E.ON Integrated Annual Report 2025 Analyst Estimates E.ON stock is evaluated by a large number of financial analysts from various investment banks and brokerage houses.,neutral,0.055585984,0.0128412815,0.9315728
The current recommendations can be viewed at www.eon.com/en/analysts-estimates ↗.,neutral,0.04792244,0.019562174,0.9325154
"Ongoing Investor Communications Our investor relations are based on four principles: openness, continuity, credibility, and equal treatment of all our investors.",neutral,0.07169368,0.014701509,0.9136048
"Our mission is to provide prompt, precise, and relevant information to our investors at our periodic conferences and road shows— worldwide— because maintaining regular communications and relationships is essential for good investor relations.",neutral,0.1644883,0.0114405705,0.8240711
A hybrid approach consisting of virtual and in-person activities has proven to be effective.,positive,0.7860329,0.007127822,0.20683925
This helps us communicate with capital markets efficiently and meet our investors’ needs.,neutral,0.45025972,0.007627332,0.54211295
"Forward-looking Funding, Stable Credit Rating Debt capital represents a very important funding source for the E.ON Group.",positive,0.652614,0.007752836,0.33963317
That is why we focus on satisfying the demands of creditors as well as those of shareholders.,neutral,0.15433948,0.009932052,0.83572847
"All three of E.ON’s current credit ratings— by S&P, Moody’s and Fitch— remained stable during the year.",positive,0.92788047,0.016188355,0.055931114
These credit ratings reflect the confidence in E.ON’s creditworthiness and support its competitiveness for future financing activities.,positive,0.8952306,0.008365174,0.096404284
E.ON issued corporate debt totaling roughly €3.2 billion in fiscal year 2025.,neutral,0.07728146,0.012473743,0.9102448
"In addition, E.ON continually aims to maximize the diversification of its debt investor base to ensure that it has cost-optimized access to a variety of funding sources at all times.",positive,0.8341797,0.0073828073,0.15843754
"In 2025, for example, E.ON issued a Schuldschein as well as its first green bond in Australia’s capital market.",neutral,0.26524097,0.007402701,0.7273564
Green Financing Framework Sustainability aspects play an important role in many international investors’ decision for or against a particular investment.,neutral,0.04964083,0.021733025,0.9286262
E.ON has issued green debt instruments since 2021.,neutral,0.070391566,0.010491862,0.9191166
Its Green Financing Framework— which is fully aligned with the ICMA Green Bond Principles and the EU Taxonomy— serves as the basis for sustainable funding.,neutral,0.39588842,0.0068903067,0.59722126
"The EU Taxonomy Regulation defines economic activities that are considered to be environmentally sustainable, thereby setting a Europe-wide standard for sustainable investment.",neutral,0.15548426,0.011705416,0.83281034
E.ON generally intends to cover more than 50 percent of its annual funding requirements with green bonds or other green financing instruments.,neutral,0.10568748,0.0080965385,0.88621604
"Green bonds accounted for about 70 percent of total bond financing, or roughly €2.3 billion , in 2025.",neutral,0.07996317,0.013192722,0.9068441
"The Financial Situation → chapter and Green Financing Report ↗ provide detailed information about allocation and impact assessment of E.ON’s green financing.To Our Investors → E.ON Management Board 11 E.ON Integrated Annual Report 2025 The E.ON Management Board The Management Board manages the Company’s business, with all its members bearing joint responsibility.",neutral,0.023570342,0.018848749,0.9575809
"It determines E.ON’s corporate objectives, fundamental strategic course, corporate policy, and organizational setup.",neutral,0.034074236,0.017125787,0.94879997
