sentence,sentiment,positive_score,negative_score,neutral_score
Sustainable Accounting Standards Board (“SASB”) Index 1 Sustainable Accounting Standards Board (“SASB”) Index This index refers to information in the Integrated Annual Report 2024 and in particular to the Sustainability Statement.,neutral,0.02488889,0.024087988,0.95102316
"Accounting Metric Category Code Response Greenhouse Gas Emissions & Energy Resource Planning (1) Gross global Scope 1 emissions, percentage covered under (2) emissions-limiting regulations, and (3) emissions- reporting regulations Quantitative IF-EU-110a.1 Scope 1: 1.98 million metric tons of CO2e.",neutral,0.049559455,0.014917458,0.9355231
"E.ON discloses its Scope 1, 2, and 3 GHG emissions.",neutral,0.022696963,0.024312036,0.952991
"Our disclosures are based on CO₂ equivalents, which include GHG in correspondence with ESRS E1 as well as the GHG Protocol.",neutral,0.03867417,0.014176928,0.9471489
"In line with the Kyoto Protocol, the baseline year is 1990.",neutral,0.022063257,0.03462862,0.9433081
GWP is relative to a 100-year time horizon.,neutral,0.067608856,0.022259193,0.91013193
Our GHG emissions disclosures encompass all subsidiaries and generation assets that are fully consolidated in E.ON’s financial statements.,neutral,0.025058523,0.019210065,0.95573133
Subsidiaries with less than ten employees are not included if their activities do not have a material impact on the different Scope 1– 3 categories.,neutral,0.016027244,0.06720322,0.9167695
"Proportion of Scope 1 GHG emissions resulting from regulated emissions-trading schemes (“ETS”) is 91 percent; emissions- trading systems encompass all emissions from facilities subject to ETS, including the EU ETS, national ETS, and non-EU ETS.",neutral,0.03309219,0.020034201,0.9468736
"→ Annual Report 2024, Climate Protection chapter Greenhouse gas (“GHG”) emissions associated with power deliveries Quantitative IF-EU-110a.2 Purchased power sold to end-customers (location-based)1: 33.08 million metric tons of CO2e Purchased power sold to end-customers (market-based)1: 28.17 million metric tons of CO2e Power distribution losses (location-based)2: 3.38 million metric tons of CO2e Power distribution losses (market-based)3: 6.16 million metric tons of CO2e4 → Annual Report 2024, Climate Protection chapter 1Scope 3 emissions from purchased power and the combustion of natural gas sold to end users (energy sold to our residential and B2B customers), according t o the GHG Scope 3 protocol.",neutral,0.025297252,0.038618114,0.9360846
The emissions from distribution losses from energy sold to sales partners and the wholesale market are accounted for under our Scope 1 and Scope 2 emissions accordingly.,neutral,0.019630024,0.047078844,0.9332911
2Based on the emission factors of the national electricity mixes for specific geographic regions (source: IEA).,neutral,0.054423437,0.01197855,0.93359804
3Based on the emission factors of the national residual mixes for specific geographic regions.,neutral,0.057367757,0.012062626,0.93056965
"A country’s residual mix emission factor represents the emissions and generation that remain after certificates, contracts, and supplier-specific factors have been claimed and removed from the calculation (source: AIB).",neutral,0.020754363,0.2586363,0.72060937
4Power distribution losses in Sweden were almost completely offset by the purchase of green electricity.,negative,0.08623997,0.84665996,0.06710004
"Sustainable Accounting Standards Board (“SASB”) Index 2 Accounting Metric Category Code Response Discussion of long-term and short-term strategy or plan to manage Scope 1 emissions, emissions reduction targets, and an analysis of performance against those targets Discussion and Analysis IF-EU-110a.3 A discussion and/or analysis of the following topics can be found in the linked sources below: • our long- and short-term strategy to manage our emissions • our emissions reduction targets • our performance against our reduction targets • our strategy to manage risks and opportunities associated with GHG emissions • our activities and investments required to achieve targets and related risks • the scope of our strategies, plans, and targets • our reduction strategies that are not related to any emissions limiting and/or emissions reporting-based program → Annual Report 2024, Climate Protection chapter → Annual Report 2024, Sustainable Products and Services chapter → Annual Report 2024, ESG Figures chapter → On course for net-zero— Supporting paper for E.ON’s decarbonization strategy and climate-related disclosures Air Quality Air emissions of the following pollutants: (1) NOX (excluding N₂O), (2) SOX, (3) particulate matter (PM10), (4) lead (Pb), and (5) mercury (Hg); percentage of each in or near areas of dense population Quantitative IF-EU-120a.1 NOX emissions: 1,654 metric tons5 SO₂ emissions: 519 metric tons5 Dust emissions: 26 metric tons5 Fossil-fueled power plants emit nitric oxide (“NOX”), sulfur dioxide (“SO₂”), and dust.",neutral,0.057859927,0.014397057,0.927743
This type of power generation is no longer a core E.ON business.,neutral,0.024255618,0.063318506,0.9124259
We therefore no longer consider it a key indicator.,neutral,0.029318795,0.056057274,0.914624
"We now focus on small-scale, embedded generation units.",neutral,0.100471415,0.008005315,0.89152324
"Our NOX, SO₂, and dust emissions are mostly attributable to small-scale gas-fired combined-heat-and-power (CHP) plants and larger district heat networks.",neutral,0.027762381,0.025254622,0.946983
"Data on lead (Pb), mercury (Hg), and the percentage of each indicator in or near areas of dense population are not available as they are not relevant for E.ON.",neutral,0.01889723,0.115139015,0.86596376
"→ Annual Report 2024, Environmental Management chapter 5For generation assets over 20 MW.",neutral,0.09169118,0.014092581,0.8942162
