sentence,sentiment,positive_score,negative_score,neutral_score
Global Reporting Initiative (“GRI”) Index 1 Global Reporting Initiative (“GRI”) Index E.ON has based its sustainability reporting on the Global Reporting Initiative (“GRI”) guidelines since 2005.,neutral,0.071244165,0.014768738,0.91398704
E.ON SE has reported the information cited in this GRI content index for the period 01-01-2024— 12-31-2024 with reference to the GRI Standards.,neutral,0.022604894,0.027454402,0.9499407
GRI 1: Fundamentals 2021 was used.,neutral,0.03255876,0.024136882,0.9433044
This index refers to information in the Integrated Annual Report 2024 and in particular to the Sustainability Statement.,neutral,0.022992224,0.024787221,0.95222056
"GRI Disclosure References and Comments GRI 2: General Disclosures (2021) The organization and its reporting practices 2-1: Organizational details → Annual Report 2024, Business Model chapter 2-2: Entities included in the organization’s sustainability reporting → Annual Report 2024, About This Report chapter 2-3: Reporting period, frequency and contact point → Annual Report 2024, About This Report chapter → Annual Report 2024, Financial Calendar and Imprint chapter 2-4: Restatements of information → Annual Report 2024, About This Report chapter 2-5: External assurance → Annual Report 2024, About This Report chapter Activities and workers 2-6: Activities, value chain and other business relationships → Annual Report 2024, About This Report chapter → Annual Report 2024, Business Model chapter → Annual Report 2024, E.ON’s Approach to Sustainability chapter → Annual Report 2024, Sustainable Products and Services chapter → Annual Report 2024, Security of Supply chapter → Annual Report 2024, Human Rights and Supply Chain Management chapter 2-7: Employees → Annual Report 2024, Working Conditions and Employee Development chapter → Annual Report 2024, ESG Figures chapter Governance 2-9: Governance structure and composition → Annual Report 2024, Strategy chapter → Annual Report 2024, E.ON’s Approach to Sustainability chapter → Corporate Governance Declaration 2-19: Remuneration policies → Annual Report 2024, E.ON’s Approach to Sustainability chapter → Compensation Report 2-20: Process to determine remuneration → Annual Report 2024, E.ON’s Approach to Sustainability chapter → Compensation Report Strategy, policies, and practices 2-22: Statement on sustainable development strategy → Annual Report 2024, Strategy chapter → Annual Report 2024, E.ON’s Approach to Sustainability chapter Global Reporting Initiative (“GRI”) Index 2 GRI Disclosure References and Comments 2-23: Policy commitments → Annual Report 2024, E.ON’s Approach to Sustainability chapter → Annual Report 2024, Compliance and Anticorruption chapter → Annual Report 2024, Human Rights and Supply Chain Management chapter The “E.ON’s Approach” section in each ESG chapter of this report provides information on the sustainability strategies and policies relevant to the chapter’s topic.",neutral,0.023477854,0.027506191,0.9490159
The Sustainability Channel on our corporate website contains a number of relevant employee and functional policies as well as our Code of Conduct.,neutral,0.05233336,0.012843749,0.9348229
"[> E.ON’s Sustainability Policies] 2-24: Embedding policy commitments → Annual Report 2024, E.ON’s Approach to Sustainability chapter → Annual Report 2024, Compliance and Anticorruption chapter → Annual Report 2024, Human Rights and Supply Chain Management chapter 2-25: Processes to remediate negative impacts → Annual Report 2024, E.ON’s Approach to Sustainability chapter → Annual Report 2024, Compliance and Anticorruption chapter → Annual Report 2024, Human Rights and Supply Chain Management chapter 2-26: Mechanisms for seeking advice and raising concerns → Annual Report 2024, Compliance and Anticorruption chapter → Annual Report 2024, Human Rights and Supply Chain Management chapter 2-28: Memberships of associations → Annual Report 2024, E.ON’s Approach to Sustainability chapter → Annual Report 2024, Political Dialog chapter Stakeholder Engagement 2-29: Approach to stakeholder engagement → Annual Report 2024, E.ON’s Approach to Sustainability chapter 2-30: Collective bargaining agreements → Annual Report 2024, Working Conditions and Employee Development chapter → Annual Report 2024, ESG Figures chapter GRI 3: Material Topics (2021) Disclosures on material topics 3-1: Process to determine material topics → Annual Report 2024, E.ON’s Approach to Sustainability chapter 3-2: List of material topics → Annual Report 2024, E.ON’s Approach to Sustainability chapter Global Reporting Initiative (“GRI”) Index 3 GRI Disclosure References and Comments 3-3: Management of material topics → Annual Report 2024, Climate Protection chapter → Annual Report 2024, Environmental Management chapter → Annual Report 2024, Sustainable Products and Services chapter → Annual Report 2024, Occupational Health and Safety chapter → Annual Report 2024, Working Conditions and Employee Development chapter → Annual Report 2024, Diversity, Equity & Inclusion chapter → Annual Report 2024, Security of Supply chapter → Annual Report 2024, Customer Satisfaction chapter → Annual Report 2024, Energy Affordability chapter → Annual Report 2024, Community Involvement chapter → Annual Report 2024, Data Protection, Cybersecurity and Product Safety chapter → Annual Report 2024, Business Resilience Management chapter → Annual Report 2024, Compliance and Anticorruption chapter → Annual Report 2024, Human Rights and Supply Chain Management chapter → Annual Report 2024, Political Dialog chapter As with the topics identified as material, reporting on the other topics listed is based on the requirements of GRI 3-3.",neutral,0.024572281,0.032419015,0.94300866
"GRI 200: Economic GRI 205: Anti-corruption (2016) 205-2: Communication and training about anti-corruption policies and procedures → Annual Report 2024, Compliance and Anticorruption chapter → Annual Report 2024, Human Rights and Supply Chain Management chapter GRI 300: Environmental GRI 302: Energy (2016) 302-1: Energy consumption within the organization → Annual Report 2024, Climate Protection chapter → Annual Report 2024, Sustainable Products and Services chapter Our disclosures include the following parameters: • Fuel consumed for energy generation (fossil, nuclear, and renewable fuel) for Company purposes • Power and district heat consumption • Fuel combustion for heating • Vehicle fuel consumption • Power distribution losses (resold power and gas are excluded) Global Reporting Initiative (“GRI”) Index 4 GRI Disclosure References and Comments GRI 305: Emissions (2016) 305-1: Direct (Scope 1) GHG emissions → Annual Report 2024, Climate Protection chapter Our disclosures are based on CO₂ equivalents, which measure greenhouse gases in accordance with the ESRS E1 as well as the Greenhouse Gas Protocol Community Accounting and Reporting Standard (“GHG Protocol”).",neutral,0.025952594,0.02173325,0.9523142
"In line with the Kyoto Protocol, the baseline year is 1990.",neutral,0.022063257,0.03462862,0.9433081
Global warming potential is relative to a 100-year time horizon.,neutral,0.09031492,0.015826784,0.8938583
